Player1,Player2,Runs,O/NO,Wickets,Team,Opposition,Ground,Match Date,Scorecard
DA Warner, R Powell,122,not out,4th,DC,SRH,Brabourne,05/05/2022,Twenty20
V Kohli, F du Plessis,118,out,2nd,RCB,PBKS,DY Patil,27/03/2022,Twenty20
V Kohli, F du Plessis,115,out,1st,RCB,GT,Wankhede,19/05/2022,Twenty20
PBB Rajapaksa, S Dhawan,110,out,2nd,PBKS,CSK,Wankhede,25/04/2022,Twenty20
RD Gaikwad, DP Conway,110,out,1st,CSK,DC,DY Patil,08/05/2022,Twenty20
SS Iyer, AJ Finch,107,out,2nd,KKR,RR,Brabourne,18/04/2022,Twenty20
HH Pandya, DA Miller,106,not out,4th,GT,RR,Eden Gardens,24/05/2022,Twenty20
Shubman Gill, WP Saha,106,out,1st,GT,MI,Brabourne,06/05/2022,Twenty20
RM Patidar, F du Plessis,105,out,2nd,RCB,SRH,Wankhede,08/05/2022,Twenty20
Shubman Gill, B Sai Sudharsan,101,out,2nd,GT,PBKS,Brabourne,08/04/2022,Twenty20
KL Rahul, Q de Kock,99,out,1st,LSG,CSK,Brabourne,31/03/2022,Twenty20
RM Patidar, V Kohli,99,out,2nd,RCB,GT,Brabourne,30/04/2022,Twenty20
Shahbaz Ahmed, KD Karthik,97,not out,6th,RCB,DC,Wankhede,16/04/2022,Twenty20
S Dhawan, MA Agarwal,97,out,1st,PBKS,MI,Pune,13/04/2022,Twenty20
D Padikkal, JC Buttler,97,out,1st,RR,KKR,Brabourne,18/04/2022,Twenty20
AK Markram, Abhishek Sharma,96,out,3rd,SRH,GT,Wankhede,27/04/2022,Twenty20
KL Rahul, DJ Hooda,96,out,3rd,LSG,RCB,Eden Gardens,25/05/2022,Twenty20
LS Livingstone, S Dhawan,95,out,3rd,PBKS,CSK,Brabourne,03/04/2022,Twenty20
KL Rahul, DJ Hooda,95,out,2nd,LSG,DC,Wankhede,01/05/2022,Twenty20
RG Sharma, Ishan Kishan,95,out,1st,MI,SRH,Wankhede,17/05/2022,Twenty20
RA Tripathi, AK Markram,94,out,3rd,SRH,KKR,Brabourne,15/04/2022,Twenty20
DA Warner, PP Shaw,93,out,1st,DC,KKR,Brabourne,10/04/2022,Twenty20
RM Patidar, KD Karthik,92,not out,5th,RCB,LSG,Eden Gardens,25/05/2022,Twenty20
AT Rayudu, RD Gaikwad,92,out,3rd,CSK,GT,Pune,17/04/2022,Twenty20
AD Russell, SW Billings,90,not out,5th,KKR,PBKS,Wankhede,01/04/2022,Twenty20
KS Williamson, Abhishek Sharma,89,out,1st,SRH,CSK,DY Patil,09/04/2022,Twenty20
DJ Hooda, A Badoni,87,out,5th,LSG,GT,Wankhede,28/03/2022,Twenty20
KL Rahul, DJ Hooda,87,out,4th,LSG,SRH,DY Patil,04/04/2022,Twenty20
PBB Rajapaksa, S Dhawan,87,out,2nd,PBKS,GT,DY Patil,03/05/2022,Twenty20
HH Pandya, A Manohar,86,out,4th,GT,RR,DY Patil,14/04/2022,Twenty20
DJ Hooda, Q de Kock,85,out,2nd,LSG,PBKS,Pune,29/04/2022,Twenty20
NT Tilak Varma, D Brevis,84,out,3rd,MI,PBKS,Pune,13/04/2022,Twenty20
SO Hetmyer, JC Buttler,83,not out,4th,RR,RCB,Wankhede,05/04/2022,Twenty20
SA Yadav, NT Tilak Varma,83,out,4th,MI,KKR,Pune,06/04/2022,Twenty20
DA Warner, PP Shaw,83,out,1st,DC,PBKS,Brabourne,20/04/2022,Twenty20
DP Conway, MM Ali,83,out,2nd,CSK,RR,Brabourne,20/05/2022,Twenty20
SV Samson, JC Buttler,82,out,3rd,RR,MI,DY Patil,02/04/2022,Twenty20
NT Tilak Varma, Ishan Kishan,81,out,3rd,MI,RR,DY Patil,02/04/2022,Twenty20
SA Yadav, NT Tilak Varma,81,out,3rd,MI,RR,DY Patil,30/04/2022,Twenty20
V Kohli, Anuj Rawat,80,out,2nd,RCB,MI,Pune,09/04/2022,Twenty20
R Tewatia, DA Miller,79,not out,5th,GT,RCB,Brabourne,30/04/2022,Twenty20
RA Tripathi, PK Garg,78,out,2nd,SRH,MI,Wankhede,17/05/2022,Twenty20
RA Tripathi, N Pooran,76,out,3rd,SRH,MI,Wankhede,17/05/2022,Twenty20
Lalit Yadav, AR Patel,75,not out,7th,DC,MI,Brabourne,27/03/2022,Twenty20
RR Pant, SN Khan,75,not out,4th,DC,LSG,DY Patil,07/04/2022,Twenty20
N Pooran, AK Markram,75,not out,4th,SRH,PBKS,DY Patil,17/04/2022,Twenty20
WP Saha, HH Pandya,75,out,2nd,GT,KKR,DY Patil,23/04/2022,Twenty20
R Powell, RR Pant,75,out,5th,DC,MI,Wankhede,21/05/2022,Twenty20
RG Sharma, Ishan Kishan,74,out,1st,MI,GT,Brabourne,06/05/2022,Twenty20
SV Samson, D Padikkal,73,out,3rd,RR,SRH,Pune,29/03/2022,Twenty20
KL Rahul, Q de Kock,73,out,1st,LSG,DC,DY Patil,07/04/2022,Twenty20
SA Yadav, JD Unadkat,72,not out,7th,MI,RCB,Pune,09/04/2022,Twenty20
KL Rahul, MK Pandey,72,out,2nd,LSG,MI,Brabourne,16/04/2022,Twenty20
MS Wade, Shubman Gill,72,out,2nd,GT,RR,Eden Gardens,24/05/2022,Twenty20
S Dhawan, MA Agarwal,71,out,1st,PBKS,RCB,DY Patil,27/03/2022,Twenty20
M Shahrukh Khan, LS Livingstone,71,out,5th,PBKS,SRH,DY Patil,17/04/2022,Twenty20
DJ Hooda, Q de Kock,71,out,2nd,LSG,KKR,Pune,07/05/2022,Twenty20
RA Jadeja, MS Dhoni,70,not out,6th,CSK,KKR,Wankhede,26/03/2022,Twenty20
D Padikkal, JC Buttler,70,out,2nd,RR,RCB,Wankhede,05/04/2022,Twenty20
Rashid Khan, DA Miller,70,out,6th,GT,CSK,Pune,17/04/2022,Twenty20
Shahbaz Ahmed, F du Plessis,70,out,5th,RCB,LSG,DY Patil,19/04/2022,Twenty20
RM Patidar, F du Plessis,70,out,2nd,RCB,RR,Ahmedabad,27/05/2022,Twenty20
N Rana, SS Iyer,69,out,3rd,KKR,DC,Brabourne,10/04/2022,Twenty20
Shubman Gill, WP Saha,69,out,1st,GT,SRH,Wankhede,27/04/2022,Twenty20
SO Hetmyer, R Ashwin,68,out,5th,RR,LSG,Wankhede,10/04/2022,Twenty20
SV Samson, JC Buttler,68,out,2nd,RR,GT,Eden Gardens,24/05/2022,Twenty20
RG Sharma, Ishan Kishan,67,out,1st,MI,DC,Brabourne,27/03/2022,Twenty20
Shahbaz Ahmed, KD Karthik,67,out,6th,RCB,RR,Wankhede,05/04/2022,Twenty20
DA Warner, PP Shaw,67,out,1st,DC,LSG,DY Patil,07/04/2022,Twenty20
SV Samson, JC Buttler,67,out,2nd,RR,KKR,Brabourne,18/04/2022,Twenty20
RK Singh, N Rana,66,not out,4th,KKR,RR,Wankhede,02/05/2022,Twenty20
