Player,Team,Year,Mat,Inns,Balls,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
B Kumar ,RCB,2025,10,10,228,38,-,339,12,Mar-33,28.25,8.92,19,-,-
BA Stokes ,RR,2020,8,6,90,15,-,154,2,Feb-32,77,10.26,45,-,-
Basil Thampi ,SRH,2020,1,1,24,4,-,46,1,Jan-46,46,11.5,24,-,-
Basil Thampi ,MI,2022,5,5,96,16,1,152,5,Mar-35,30.4,9.5,19.2,-,-
C Bosch ,MI,2025,3,2,42,7,-,55,1,Jan-26,55,7.85,42,-,-
C Green ,MI,2023,16,16,228,38,-,361,6,Feb-41,60.16,9.5,38,-,-
C Green ,RCB,2024,13,13,211,35.1,-,303,10,02-Dec,30.3,8.61,21.1,-,-
C Sakariya ,RR,2021,14,14,312,52,1,426,14,Mar-31,30.42,8.19,22.28,-,-
C Sakariya ,DC,2022,3,3,66,11,-,84,3,Feb-23,28,7.63,22,-,-
C Sakariya ,DC,2023,2,2,48,8,-,89,3,Feb-53,29.66,11.12,16,-,-
CH Morris ,RCB,2020,9,9,190,31.4,1,210,11,Apr-26,19.09,6.63,17.27,1,-
CH Morris ,RR,2021,11,11,246,41,-,376,15,Apr-23,25.06,9.17,16.4,1,-
CJ Jordan ,PBKS,2020,9,9,189,31.3,-,304,9,Mar-17,33.77,9.65,21,-,-
CJ Jordan ,PBKS,2021,4,4,72,12,-,96,4,Feb-20,24,8,18,-,-
CJ Jordan ,CSK,2022,4,4,77,12.5,-,135,2,Feb-23,67.5,10.51,38.5,-,-
CJ Jordan ,MI,2023,6,6,132,22,1,237,3,01-Jul,79,10.77,44,-,-
CR Woakes ,DC,2021,3,3,66,11,-,82,5,Feb-18,16.4,7.45,13.2,-,-
CV Varun ,KKR,2020,13,13,312,52,-,356,17,May-20,20.94,6.84,18.35,-,1
CV Varun ,KKR,2021,17,17,408,68,-,448,18,Mar-13,24.88,6.58,22.66,-,-
CV Varun ,KKR,2022,11,11,234,39,-,332,6,Jan-22,55.33,8.51,39,-,-
CV Varun ,KKR,2023,14,14,316,52.4,1,429,20,Apr-15,21.45,8.14,15.8,1,-
CV Varun ,KKR,2024,15,14,300,50,-,402,21,Mar-16,19.14,8.04,14.28,-,-
CV Varun ,KKR,2025,12,12,282,47,-,329,17,Mar-22,19.35,7,16.58,-,-
D Brevis ,MI,2022,7,1,3,0.3,-,8,1,01-Aug,8,16,3,-,-
D Pretorius ,CSK,2022,6,6,126,21,-,210,6,Feb-30,35,10,21,-,-
DG Nalkande ,GT,2022,2,2,31,5.1,-,59,2,Feb-37,29.5,11.41,15.5,-,-
DG Nalkande ,GT,2024,3,3,29,4.5,-,45,3,Feb-21,15,9.31,9.66,-,-
DJ Bravo ,CSK,2020,6,6,126,21,-,180,6,Mar-37,30,8.57,21,-,-
DJ Bravo ,CSK,2021,11,11,202,33.4,-,263,14,Mar-24,18.78,7.81,14.42,-,-
DJ Bravo ,CSK,2022,10,10,206,34.2,1,299,16,Mar-20,18.68,8.7,12.87,-,-
DJ Hooda ,PBKS,2021,12,7,96,16,-,136,2,Jan-15,68,8.5,48,-,-
DJ Hooda ,LSG,2022,15,2,24,4,-,43,1,Jan-31,43,10.75,24,-,-
DJ Mitchell ,CSK,2024,13,2,36,6,-,70,1,Jan-18,70,11.66,36,-,-
